Name;Alternativname;Höhe;SAC-Sektion;Schlafplätze;Schutzraum;Ein­wei­hung;Kanton;Kommentar;Typ;Extrainfos
Gelmerhütte;;2412;Brugg;55;30;1926;Bern;;SAC-Hütte;"{{Coordinate|NS=46.63128|EW=8.34271|type=mountain|sortkey=NS|elevation=2412|region=CH-BE|text=ICON2|name=Gelmerhütte}}&nbsp;&#124;&nbsp;"
Geltenhütte;;2002;Oldenhorn;83;14;1969;Bern;;SAC-Hütte;"{{Coordinate|NS=46.36966|EW=7.33902|type=mountain|sortkey=NS|elevation=2002|region=CH-BE|text=ICON2|name=Geltenhütte}}&nbsp;&#124;&nbsp;"
Glärnischhütte;;1990;Tödi;110;20;1987;Glarus;;SAC-Hütte;"{{Coordinate|NS=47.00159|EW=8.96355|type=mountain|sortkey=NS|elevation=1989|region=CH-GL|text=ICON2|name=Glärnischhütte}}&nbsp;&#124;&nbsp;"
Glattalphütte;;1898;Mythen;49;21;1921;Schwyz;;SAC-Hütte;"{{Coordinate|NS=46.91688|EW=8.87494|type=mountain|sortkey=NS|elevation=2002|region=CH-SZ|text=ICON2|name=Glattalphütte}}&nbsp;&#124;&nbsp;"
Glecksteinhütte;;2316;Burgdorf;80;20;1904;Bern;;SAC-Hütte;"{{Coordinate|NS=46.62514|EW=8.096581|type=mountain|sortkey=NS|elevation=2317|region=CH-BE|text=ICON2|name=Glecksteinhütte}}&nbsp;&#124;&nbsp;"
Grassenbiwak;Biwak am Grassen;2647;Engelberg;18;18;1970;Obwalden;;SAC-Hütte;"{{Coordinate|NS=46.77016|EW=8.44666|type=mountain|sortkey=NS|elevation=2002|region=CH-OW|text=ICON2|name=Grassen Biwak}}&nbsp;&#124;&nbsp;"
Grialetschhütte;Chamanna da Grialetsch;2542;St. Gallen;61;20;1928;Graubünden;;SAC-Hütte;"{{Coordinate|NS=46/42/36.3|EW=9/57/38.3|type=mountain|sortkey=NS|elevation=2542|region=CH-GR|text=ICON2|name=Grialetschhütte}}&nbsp;&#124;&nbsp;"
Grünhornhütte;Seit 2011 geschlossen;2448;Tödi;0;0;1863;Glarus;;SAC-Hütte;"{{Coordinate|NS=46/48/38|EW=8/56/29|type=mountain|sortkey=NS|elevation=2448|region=CH-GL|text=ICON2|name=Grünhornhütte}}&nbsp;&#124;&nbsp;[[Datei:Logo Schweizer Alpen-Club.jpg|20px|verweis=https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/2147000126/]]&nbsp;&#124;&nbsp;"
Gspaltenhornhütte;;2455;Bern;60;0;1953;Bern;;SAC-Hütte;"{{Coordinate|NS=46.51270|EW=7.81019|type=mountain|sortkey=NS|elevation=2512|region=CH-BE|text=ICON2|name=Gspaltenhornhütte}}&nbsp;&#124;&nbsp;"
Guggihütte;;2791;Interlaken;25;25;1874;Bern;;SAC-Hütte;"{{Coordinate|NS=46.56275|EW=7.97444|type=mountain|sortkey=NS|elevation=2512|region=CH-BE|text=ICON2|name=Guggihütte}}&nbsp;&#124;&nbsp;"
Hollandiahütte;;3238;Bern;74;12;1991;Wallis;;SAC-Hütte;"{{Coordinate|NS=46/28/31.03|EW=7/57/36.91|type=mountain|sortkey=NS|elevation=3240|region=CH-VS|text=ICON2|name=Hollandiahütte}}&nbsp;&#124;&nbsp;"
Hüfihütte;;2334;Pilatus;32;0;1899;Uri;;SAC-Hütte;"{{Coordinate|NS=46.80188|EW=8.81892|type=mountain|sortkey=NS|elevation=2337|region=CH-UR|text=ICON2|name=Hüfihütte}}&nbsp;&#124;&nbsp;"
Hundsteinhütte;;1554;Säntis;44;12;1959;Appenzell Innerrhoden;;SAC-Hütte;"{{Coordinate|NS=47.254844|EW=9.422332|type=mountain|sortkey=NS|elevation=1551|region=CH-AI|text=ICON2|name=Hundsteinhütte}}&nbsp;&#124;&nbsp;"
Jenatschhütte;Chamanna Jenatsch;2652;Bernina;71;14;1993;Graubünden;;SAC-Hütte;"{{Coordinate|NS=46/31/45.49|EW=09/43/28.23|type=mountain|sortkey=NS|elevation=2652|region=CH-GR|text=ICON2|name=Chamanna Jenatsch}}&nbsp;&#124;&nbsp;"
Kesch-Hütte;;2625;Davos;92;20;2000;Graubünden;;SAC-Hütte;"{{Coordinate|NS=46.645192|EW=9.875188|type=mountain|sortkey=NS|elevation=2625|region=CH-GR|text=ICON2|name=Kesch-Hütte}}&nbsp;&#124;&nbsp;"
Konkordiahütte;;2850;Grindelwald;155;35;1877;Wallis;;SAC-Hütte;"{{Coordinate|NS=46.500456|EW=8.053249|type=mountain|sortkey=NS|elevation=2850|region=CH-VS|text=ICON2|name=Konkordiahütte}}&nbsp;&#124;&nbsp;"
Kröntenhütte;;1903;Gotthard;80;48;1890;Uri;;SAC-Hütte;"{{Coordinate|NS=46.800064|EW=8.57543|type=mountain|sortkey=NS|elevation=1903|region=CH-UR|text=ICON2|name=Kröntenhütte}}&nbsp;&#124;&nbsp;"
